,precision@5,precision@10,recall@5,recall@10,ndcg@5,ndcg@10,map@5,map@10,auc,evaluated_targets
dual_space_complementary,0.258082,0.192096,0.451818,0.628318,0.427584,0.482277,0.337310,0.359575,0.900612,1126.000000
teammate_learned_ranker,0.236057,0.179485,0.404951,0.570113,0.392311,0.445182,0.307069,0.328855,0.880673,1126.000000
artist_cosine,0.196092,0.147336,0.350971,0.482364,0.331710,0.373584,0.255669,0.270112,0.820886,1126.000000
proposal_hybrid,0.193250,0.146714,0.338268,0.477557,0.321323,0.365571,0.244542,0.260441,0.831982,1126.000000
svd_embedding,0.185790,0.146270,0.323784,0.478717,0.297987,0.349131,0.221458,0.241423,0.833937,1126.000000
tag_cosine,0.146536,0.119449,0.264694,0.388726,0.244033,0.287172,0.193211,0.210142,0.631704,1126.000000
popularity_degree,0.143162,0.121847,0.202944,0.328951,0.202758,0.244773,0.141573,0.157279,0.784997,1126.000000
random,0.028597,0.029751,0.045334,0.086323,0.038930,0.054349,0.022578,0.026025,0.492548,1126.000000
