,precision@5,precision@10,recall@5,recall@10,ndcg@5,ndcg@10,map@5,map@10,auc,evaluated_targets
dual_space_complementary,0.257194,0.191563,0.449813,0.628258,0.428015,0.483304,0.338672,0.361148,0.900808,1126.000000
teammate_learned_ranker,0.238188,0.177798,0.414992,0.571587,0.397936,0.446658,0.311739,0.331395,0.878493,1126.000000
artist_cosine,0.196092,0.147336,0.350971,0.482364,0.331710,0.373584,0.255669,0.270112,0.820886,1126.000000
proposal_hybrid,0.192007,0.146092,0.337444,0.478063,0.320953,0.366205,0.244581,0.261446,0.832509,1126.000000
svd_embedding,0.185790,0.146270,0.323784,0.478717,0.297987,0.349131,0.221458,0.241423,0.833937,1126.000000
tag_cosine,0.159325,0.127087,0.288515,0.408318,0.268061,0.308993,0.217694,0.233750,0.629071,1126.000000
popularity_degree,0.143162,0.121847,0.202944,0.328951,0.202758,0.244773,0.141573,0.157279,0.784997,1126.000000
random,0.028597,0.029751,0.045334,0.086323,0.038930,0.054349,0.022578,0.026025,0.492548,1126.000000
